
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,TOT,NBA,SG,77,60,1916,251,584,.430,38,130,.292,213,454,.469,.462,41,53,.774,75,182,257,179,59,20,71,114,581
2001-02,20,BOS,NBA,SG,48,33,1003,130,296,.439,24,88,.273,106,208,.510,.480,20,26,.769,40,99,139,74,33,9,28,59,304
2001-02,20,PHO,NBA,SG,29,27,913,121,288,.420,14,42,.333,107,246,.435,.444,21,27,.778,35,83,118,105,26,11,43,55,277
2002-03,21,PHO,NBA,SG,82,34,2255,316,796,.397,75,205,.366,241,591,.408,.444,96,124,.774,57,207,264,210,62,19,108,143,803
2003-04,22,PHO,NBA,SG,82,77,3331,555,1291,.430,83,272,.305,472,1019,.463,.462,174,232,.750,80,305,385,362,93,26,199,177,1367
2004-05,23,PHO,NBA,SF,82,82,3240,544,1179,.461,177,370,.478,367,809,.454,.536,135,180,.750,120,302,422,291,79,24,148,167,1400
2005-06,24,ATL,NBA,SG,82,82,3340,632,1395,.453,128,360,.356,504,1035,.487,.499,261,330,.791,98,237,335,536,103,31,267,187,1653
2006-07 ★,25,ATL,NBA,SG,57,57,2359,536,1139,.471,119,312,.381,417,827,.504,.523,235,314,.748,53,186,239,249,60,11,176,115,1426
2007-08 ★,26,ATL,NBA,SG,82,82,3343,647,1497,.432,169,444,.381,478,1053,.454,.489,316,379,.834,83,284,367,474,84,18,223,168,1779
2008-09 ★,27,ATL,NBA,SG,79,79,3124,620,1420,.437,149,414,.360,471,1006,.468,.489,299,362,.826,65,281,346,455,84,19,195,176,1688
2009-10 ★,28,ATL,NBA,SG,76,76,2886,635,1386,.458,129,350,.369,506,1036,.488,.505,220,269,.818,74,279,353,369,82,5,145,145,1619
2010-11 ★,29,ATL,NBA,SG,72,72,2554,514,1161,.443,89,300,.297,425,861,.494,.481,195,243,.802,59,232,291,338,47,7,146,131,1312
2011-12 ★,30,ATL,NBA,SG,60,60,2127,423,931,.454,125,322,.388,298,609,.489,.521,158,186,.849,53,168,221,232,48,13,116,75,1129
2012-13,31,BRK,NBA,SG,72,72,2642,445,1052,.423,148,395,.375,297,657,.452,.493,132,161,.820,53,165,218,253,49,14,123,99,1170
2013-14 ★,32,BRK,NBA,SG,79,79,2575,462,1018,.454,162,404,.401,300,614,.489,.533,159,195,.815,48,222,270,216,47,10,120,129,1245
2014-15,33,BRK,NBA,SG,18,18,629,107,244,.439,23,65,.354,84,179,.469,.486,45,54,.833,16,74,90,69,16,3,31,36,282
Career,,,NBA,,1000,930,36321,6687,15093,.443,1614,4343,.372,5073,10750,.472,.497,2466,3082,.800,934,3124,4058,4233,913,220,2068,1862,17454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,ATL,NBA,,508,508,19733,4007,8929,.449,908,2502,.363,3099,6427,.482,.500,1684,2083,.808,485,1667,2152,2653,508,104,1268,997,10606
4 seasons,,PHO,NBA,,275,220,9739,1536,3554,.432,349,889,.393,1187,2665,.445,.481,426,563,.757,292,897,1189,968,260,80,498,542,3847
3 seasons,,BRK,NBA,,169,169,5846,1014,2314,.438,333,864,.385,681,1450,.470,.510,336,410,.820,117,461,578,538,112,27,274,264,2697
1 season,,BOS,NBA,,48,33,1003,130,296,.439,24,88,.273,106,208,.510,.480,20,26,.769,40,99,139,74,33,9,28,59,304
