
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,NOH,NBA,SG,76,56,1859,295,748,.394,81,281,.288,214,467,.458,.449,111,161,.689,39,113,152,142,55,11,109,135,782
2005-06,20,NOK,NBA,SG,55,25,989,144,366,.393,52,140,.371,92,226,.407,.464,83,101,.822,19,91,110,58,37,4,54,90,423
2006-07,21,DEN,NBA,SG,63,24,1471,284,644,.441,149,382,.390,135,262,.515,.557,102,126,.810,30,113,143,91,49,9,85,147,819
2007-08,22,DEN,NBA,SG,74,0,1421,311,674,.461,157,390,.403,154,284,.542,.578,128,178,.719,43,109,152,128,62,12,112,144,907
2008-09,23,DEN,NBA,SG,81,18,2245,424,950,.446,180,453,.397,244,497,.491,.541,205,272,.754,43,254,297,227,78,14,150,190,1233
2009-10,24,DEN,NBA,SG,75,0,2082,428,1033,.414,158,467,.338,270,566,.477,.491,142,201,.706,28,206,234,183,99,20,139,174,1156
2010-11,25,DEN,NBA,SF,79,6,1968,341,784,.435,124,318,.390,217,466,.466,.514,163,221,.738,45,277,322,175,92,16,100,173,969
2011-12,26,NYK,NBA,SG,35,1,967,165,405,.407,67,193,.347,98,212,.462,.490,39,55,.709,29,107,136,84,54,6,46,87,436
2012-13,27,NYK,NBA,SG,80,0,2678,527,1249,.422,155,436,.356,372,813,.458,.484,237,311,.762,64,361,425,218,100,24,134,226,1446
2013-14,28,NYK,NBA,SF,74,37,2421,396,955,.415,189,480,.394,207,475,.436,.514,90,138,.652,35,261,296,219,65,20,108,196,1071
2014-15,29,NYK,NBA,SG,20,4,499,78,187,.417,21,65,.323,57,122,.467,.473,23,32,.719,2,41,43,65,15,4,39,40,200
Career,,,NBA,,712,171,18600,3393,7995,.424,1333,3605,.370,2060,4390,.469,.508,1323,1796,.737,377,1933,2310,1590,706,140,1076,1602,9442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,372,48,9187,1788,4085,.438,768,2010,.382,1020,2075,.492,.532,740,998,.741,189,959,1148,804,380,71,586,828,5084
4 seasons,,NYK,NBA,,209,42,6565,1166,2796,.417,432,1174,.368,734,1622,.453,.494,389,536,.726,130,770,900,586,234,54,327,549,3153
2 seasons,,NOHNOK,NBA,,131,81,2848,439,1114,.394,133,421,.316,306,693,.442,.454,194,262,.740,58,204,262,200,92,15,163,225,1205
