
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,23,HOU,NBA,PG,51,0,608,93,225,.413,36,109,.330,57,116,.491,.493,42,49,.857,13,43,56,87,13,5,44,69,264
2008-09,24,HOU,NBA,PG,80,35,1998,316,783,.404,113,309,.366,203,474,.428,.476,149,172,.866,33,124,157,238,46,8,125,152,894
2009-10,25,HOU,NBA,PG,82,82,2919,575,1331,.432,209,525,.398,366,806,.454,.511,245,298,.822,54,161,215,434,69,14,232,199,1604
2010-11,26,TOT,NBA,PG,59,12,1284,220,587,.375,70,236,.297,150,351,.427,.434,124,140,.886,20,58,78,233,34,3,99,115,634
2010-11,26,HOU,NBA,PG,34,7,811,134,387,.346,48,169,.284,86,218,.394,.408,78,83,.940,11,40,51,129,21,2,55,69,394
2010-11,26,PHO,NBA,PG,25,5,473,86,200,.430,22,67,.328,64,133,.481,.485,46,57,.807,9,18,27,104,13,1,44,46,240
2011-12,27,Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China),Did Not Play (other pro league—China)
2012-13,28,TOT,NBA,PG,53,20,997,143,316,.453,50,134,.373,93,182,.511,.532,40,52,.769,13,67,80,114,30,10,67,94,376
2012-13,28,SAC,NBA,PG,46,20,959,139,303,.459,48,127,.378,91,176,.517,.538,40,52,.769,12,66,78,108,29,7,63,89,366
2012-13,28,HOU,NBA,PG,7,0,38,4,13,.308,2,7,.286,2,6,.333,.385,0,0,,1,1,2,6,1,3,4,5,10
2013-14,29,TOT,NBA,PG,72,12,1557,233,581,.401,96,248,.387,137,333,.411,.484,83,95,.874,43,97,140,233,52,13,117,146,645
2013-14,29,HOU,NBA,PG,43,0,716,104,263,.395,54,132,.409,50,131,.382,.498,37,44,.841,23,39,62,83,25,6,51,76,299
2013-14,29,DEN,NBA,PG,29,12,841,129,318,.406,42,116,.362,87,202,.431,.472,46,51,.902,20,58,78,150,27,7,66,70,346
2014-15,30,CHI,NBA,PG,20,1,384,75,169,.444,27,61,.443,48,108,.444,.524,31,37,.838,6,24,30,63,10,3,43,46,208
Career,,,NBA,,417,162,9747,1655,3992,.415,601,1622,.371,1054,2370,.445,.490,714,843,.847,182,574,756,1402,254,56,727,821,4625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,297,124,7090,1226,3002,.408,462,1251,.369,764,1751,.436,.485,551,646,.853,135,408,543,977,175,38,511,570,3465
1 season,,SAC,NBA,,46,20,959,139,303,.459,48,127,.378,91,176,.517,.538,40,52,.769,12,66,78,108,29,7,63,89,366
1 season,,DEN,NBA,,29,12,841,129,318,.406,42,116,.362,87,202,.431,.472,46,51,.902,20,58,78,150,27,7,66,70,346
1 season,,PHO,NBA,,25,5,473,86,200,.430,22,67,.328,64,133,.481,.485,46,57,.807,9,18,27,104,13,1,44,46,240
1 season,,CHI,NBA,,20,1,384,75,169,.444,27,61,.443,48,108,.444,.524,31,37,.838,6,24,30,63,10,3,43,46,208
