
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,21,ATL,NBA,SG,76,37,1919,140,313,.447,6,26,.231,134,287,.467,.457,56,93,.602,111,231,342,182,59,37,126,191,342
2004-05,22,ATL,NBA,SG,66,25,1201,124,294,.422,9,50,.180,115,244,.471,.437,57,77,.740,54,116,170,149,37,18,87,123,314
2005-06,23,PHO,NBA,PF,81,70,2874,449,853,.526,8,30,.267,441,823,.536,.531,174,238,.731,159,399,558,503,58,85,189,260,1080
2006-07,24,PHO,NBA,PF,73,59,2268,306,569,.538,15,45,.333,291,524,.555,.551,82,120,.683,91,226,317,352,28,38,154,177,709
2007-08,25,PHO,NBA,PF,82,19,2308,308,646,.477,13,41,.317,295,605,.488,.487,96,129,.744,97,281,378,317,61,39,155,166,725
2008-09,26,TOT,NBA,PF,81,59,2754,448,884,.507,75,181,.414,373,703,.531,.549,101,147,.687,118,314,432,333,61,53,215,202,1072
2008-09,26,PHO,NBA,PF,22,0,538,80,141,.567,5,14,.357,75,127,.591,.585,18,26,.692,24,60,84,46,11,9,37,39,183
2008-09,26,CHA,NBA,PF,59,59,2216,368,743,.495,70,167,.419,298,576,.517,.542,83,121,.686,94,254,348,287,50,44,178,163,889
2009-10,27,CHA,NBA,PF,82,82,2906,373,773,.483,66,206,.320,307,567,.541,.525,113,147,.769,131,293,424,325,60,57,178,219,925
2010-11,28,CHA,NBA,PF,82,82,2778,381,774,.492,78,226,.345,303,548,.553,.543,84,123,.683,105,309,414,337,74,46,166,190,924
2011-12,29,TOT,NBA,PF,57,35,1424,156,351,.444,31,99,.313,125,252,.496,.489,22,35,.629,70,210,280,205,34,25,112,125,365
2011-12,29,CHA,NBA,PF,37,28,1018,116,283,.410,23,86,.267,93,197,.472,.451,17,27,.630,47,148,195,158,20,19,84,71,272
2011-12,29,SAS,NBA,PF,20,7,406,40,68,.588,8,13,.615,32,55,.582,.647,5,8,.625,23,62,85,47,14,6,28,54,93
2012-13,30,SAS,NBA,PF,75,20,1709,179,332,.539,30,78,.385,149,254,.587,.584,47,65,.723,66,188,254,180,52,27,84,143,435
2013-14,31,SAS,NBA,PF,79,24,1974,302,580,.521,45,112,.402,257,468,.549,.559,68,92,.739,74,252,326,222,44,32,121,140,717
2014-15,32,SAS,NBA,PF,22,9,606,77,162,.475,15,47,.319,62,115,.539,.522,26,30,.867,21,84,105,75,14,8,36,46,195
Career,,,NBA,,856,521,24721,3243,6531,.497,391,1141,.343,2852,5390,.529,.526,926,1296,.715,1097,2903,4000,3180,582,465,1623,1982,7803
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHA,NBA,,260,251,8918,1238,2573,.481,237,685,.346,1001,1888,.530,.527,297,418,.711,377,1004,1381,1107,204,166,606,643,3010
4 seasons,,PHO,NBA,,258,148,7988,1143,2209,.517,41,130,.315,1102,2079,.530,.527,370,513,.721,371,966,1337,1218,158,171,535,642,2697
4 seasons,,SAS,NBA,,196,60,4695,598,1142,.524,98,250,.392,500,892,.561,.567,146,195,.749,184,586,770,524,124,73,269,383,1440
2 seasons,,ATL,NBA,,142,62,3120,264,607,.435,15,76,.197,249,531,.469,.447,113,170,.665,165,347,512,331,96,55,213,314,656
