
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,23,CHA,NBA,SF,36,7,564,75,181,.414,24,58,.414,51,123,.415,.481,33,41,.805,23,47,70,32,11,4,32,48,207
2006-07,24,CHA,NBA,SG,17,0,256,37,81,.457,5,20,.250,32,61,.525,.488,19,23,.826,11,21,32,21,7,0,22,33,98
2007-08,25,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
2008-09,26,Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia),Did Not Play (other pro league—Russia Croatia)
2009-10,27,Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel)
2010-11,28,Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain),Did Not Play (other pro league—D-League Spain)
2011-12,29,TOR,NBA,SF,17,12,461,55,142,.387,24,61,.393,31,81,.383,.472,29,34,.853,8,26,34,26,5,3,25,35,163
2012-13,30,TOR,NBA,SF,65,2,1495,236,616,.383,95,285,.333,141,331,.426,.460,126,147,.857,34,114,148,103,48,7,80,131,693
2013-14,31,BRK,NBA,SF,78,26,1773,194,485,.400,84,248,.339,110,237,.464,.487,92,118,.780,40,135,175,81,48,11,62,147,564
2014-15,32,BRK,NBA,SG,18,0,330,27,73,.370,9,30,.300,18,43,.419,.432,11,14,.786,11,28,39,10,7,3,17,39,74
