
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,27,HOU,NBA,PF,82,39,2024,345,670,.515,0,3,.000,345,667,.517,.515,157,235,.668,174,351,525,106,60,19,105,235,847
2008-09,28,HOU,NBA,PF,82,82,2488,424,799,.531,0,3,.000,424,796,.533,.531,196,258,.760,200,520,720,123,68,11,123,261,1044
2009-10,29,HOU,NBA,PF,82,82,2671,560,1090,.514,1,5,.200,559,1085,.515,.514,208,267,.779,175,530,705,169,63,26,163,246,1329
2010-11,30,HOU,NBA,PF,74,74,2412,569,1129,.504,0,3,.000,569,1126,.505,.504,214,290,.738,147,459,606,185,48,44,147,227,1352
2011-12,31,HOU,NBA,PF,66,66,2067,436,888,.491,0,3,.000,436,885,.493,.491,153,198,.773,122,306,428,140,35,24,153,214,1025
2012-13,32,PHO,NBA,PF,82,67,2184,432,915,.472,3,16,.188,429,899,.477,.474,181,230,.787,158,383,541,182,67,35,126,257,1048
2013-14,33,IND,NBA,PF,82,2,1399,263,560,.470,1,7,.143,262,553,.474,.471,99,136,.728,86,305,391,81,26,16,108,164,626
2014-15,34,IND,NBA,PF,22,15,502,86,179,.480,2,7,.286,84,172,.488,.486,28,46,.609,41,123,164,34,17,8,33,61,202
Career,,,NBA,,572,427,15747,3115,6230,.500,7,47,.149,3108,6183,.503,.501,1236,1660,.745,1103,2977,4080,1020,384,183,958,1665,7473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,HOU,NBA,,386,343,11662,2334,4576,.510,1,17,.059,2333,4559,.512,.510,928,1248,.744,818,2166,2984,723,274,124,691,1183,5597
2 seasons,,IND,NBA,,104,17,1901,349,739,.472,3,14,.214,346,725,.477,.474,127,182,.698,127,428,555,115,43,24,141,225,828
1 season,,PHO,NBA,,82,67,2184,432,915,.472,3,16,.188,429,899,.477,.474,181,230,.787,158,383,541,182,67,35,126,257,1048
