
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,CHI,NBA,PG,76,66,2706,318,823,.386,144,369,.390,174,454,.383,.474,135,168,.804,42,217,259,517,101,21,204,276,915
2004-05,24,CHI,NBA,PG,77,77,2800,445,1122,.397,145,408,.355,300,714,.420,.461,171,216,.792,32,272,304,494,122,21,176,244,1206
2005-06,25,CHI,NBA,PG,81,81,2955,451,1078,.418,126,341,.370,325,737,.441,.477,256,314,.815,29,259,288,514,94,21,188,251,1284
2006-07,26,CHI,NBA,PG,80,80,2839,475,1061,.448,140,337,.415,335,724,.463,.514,237,284,.835,32,242,274,500,100,23,191,274,1327
2007-08,27,CHI,NBA,PG,75,72,2380,330,797,.414,84,240,.350,246,557,.442,.467,118,142,.831,28,216,244,452,87,19,157,224,862
2008-09,28,CHI,NBA,SG,51,4,1339,183,419,.437,69,169,.408,114,250,.456,.519,68,86,.791,16,107,123,197,66,19,87,126,503
2009-10,29,CHI,NBA,SG,74,53,2481,308,753,.409,104,280,.371,204,473,.431,.478,85,113,.752,24,236,260,330,85,24,113,204,805
2010-11,30,TOT,NBA,SG-PG,72,51,2157,278,623,.446,75,188,.399,203,435,.467,.506,106,126,.841,21,161,182,288,75,17,121,185,737
2010-11,30,WAS,NBA,SG,48,29,1471,198,438,.452,43,112,.384,155,326,.475,.501,92,105,.876,14,115,129,210,56,10,84,119,531
2010-11,30,ATL,NBA,PG,24,22,686,80,185,.432,32,76,.421,48,109,.440,.519,14,21,.667,7,46,53,78,19,7,37,66,206
2011-12,31,ATL,NBA,SG,48,31,1237,122,295,.414,47,136,.346,75,159,.472,.493,25,32,.781,11,90,101,132,38,11,58,100,316
2012-13,32,CHI,NBA,PG,60,60,1764,159,422,.377,71,182,.390,88,240,.367,.461,70,98,.714,16,142,158,314,63,25,99,192,459
2013-14,33,CHI,NBA,PG,73,61,2116,243,619,.393,85,242,.351,158,377,.419,.461,95,125,.760,31,161,192,286,80,26,120,203,666
2014-15,34,CHI,NBA,SG,18,9,501,54,143,.378,26,60,.433,28,83,.337,.469,26,36,.722,5,28,33,61,21,2,30,48,160
Career,,,NBA,,785,645,25275,3366,8155,.413,1116,2952,.378,2250,5203,.432,.481,1392,1740,.800,287,2131,2418,4085,932,229,1544,2327,9240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,CHI,NBA,,665,563,21881,2966,7237,.410,994,2628,.378,1972,4609,.428,.479,1261,1582,.797,255,1880,2135,3665,819,201,1365,2042,8187
2 seasons,,ATL,NBA,,72,53,1923,202,480,.421,79,212,.373,123,268,.459,.503,39,53,.736,18,136,154,210,57,18,95,166,522
1 season,,WAS,NBA,,48,29,1471,198,438,.452,43,112,.384,155,326,.475,.501,92,105,.876,14,115,129,210,56,10,84,119,531
