
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,IND,NBA,SG,46,3,556,75,160,.469,19,52,.365,56,108,.519,.528,11,20,.550,33,50,83,22,6,8,24,69,180
2007-08,21,IND,NBA,SF,65,3,967,159,372,.427,43,137,.314,116,235,.494,.485,76,106,.717,54,122,176,59,26,26,58,132,437
2008-09,22,DAL,NBA,SF,15,0,170,16,56,.286,1,17,.059,15,39,.385,.295,9,11,.818,19,27,46,2,2,9,5,19,42
2009-10,23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2010-11,24,NYK,NBA,PF,64,11,1323,164,385,.426,85,212,.401,79,173,.457,.536,41,49,.837,60,179,239,47,39,51,46,164,454
2011-12,25,NJN,NBA,SF,25,6,514,42,147,.286,21,87,.241,21,60,.350,.357,8,11,.727,20,48,68,16,10,11,13,44,113
2012-13,26,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,27,LAL,NBA,PF,36,13,751,73,192,.380,42,129,.326,31,63,.492,.490,14,20,.700,25,142,167,30,19,30,21,93,202
2014-15,28,MIA,NBA,SF,22,17,545,63,138,.457,40,88,.455,23,50,.460,.601,20,24,.833,17,71,88,26,7,13,10,68,186
Career,,,NBA,,273,53,4826,592,1450,.408,251,722,.348,341,728,.468,.495,179,241,.743,228,639,867,202,109,148,177,589,1614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,IND,NBA,,111,6,1523,234,532,.440,62,189,.328,172,343,.501,.498,87,126,.690,87,172,259,81,32,34,82,201,617
1 season,,NYK,NBA,,64,11,1323,164,385,.426,85,212,.401,79,173,.457,.536,41,49,.837,60,179,239,47,39,51,46,164,454
1 season,,LAL,NBA,,36,13,751,73,192,.380,42,129,.326,31,63,.492,.490,14,20,.700,25,142,167,30,19,30,21,93,202
1 season,,NJN,NBA,,25,6,514,42,147,.286,21,87,.241,21,60,.350,.357,8,11,.727,20,48,68,16,10,11,13,44,113
1 season,,MIA,NBA,,22,17,545,63,138,.457,40,88,.455,23,50,.460,.601,20,24,.833,17,71,88,26,7,13,10,68,186
1 season,,DAL,NBA,,15,0,170,16,56,.286,1,17,.059,15,39,.385,.295,9,11,.818,19,27,46,2,2,9,5,19,42
