
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,22,PHI,NBA,SG,53,0,767,143,357,.401,19,61,.311,124,296,.419,.427,59,81,.728,16,49,65,53,26,5,59,83,364
2004-05,23,PHI,NBA,SG,57,21,1066,155,423,.366,30,105,.286,125,318,.393,.402,97,125,.776,22,111,133,100,34,6,75,121,437
2005-06,24,PHI,NBA,SG,10,2,153,28,66,.424,10,19,.526,18,47,.383,.500,4,5,.800,1,14,15,5,2,0,12,13,70
2006-07,25,PHI,NBA,SG,74,36,1842,357,868,.411,51,157,.325,306,711,.430,.441,74,111,.667,42,116,158,112,56,4,106,144,839
2007-08,26,PHI,NBA,SG,74,74,1970,379,870,.436,51,179,.285,328,691,.475,.465,112,148,.757,32,150,182,151,54,22,109,119,921
2008-09,27,PHI,NBA,SG,81,60,1828,286,658,.435,51,161,.317,235,497,.473,.473,62,85,.729,29,97,126,158,53,13,64,154,685
2009-10,28,PHI,NBA,SG,73,18,1553,248,543,.457,47,136,.346,201,407,.494,.500,95,114,.833,20,109,129,152,32,11,67,135,638
2010-11,29,NOH,NBA,SG,77,13,1674,270,609,.443,54,155,.348,216,454,.476,.488,78,100,.780,22,139,161,74,36,13,67,143,672
2011-12,30,ATL,NBA,SG,53,2,922,153,325,.471,50,113,.442,103,212,.486,.548,48,56,.857,15,65,80,40,23,6,33,74,404
2012-13,31,LAC,NBA,SG,72,60,1188,178,386,.461,71,166,.428,107,220,.486,.553,23,32,.719,17,80,97,55,29,12,31,96,450
2013-14,32,LAC,NBA,SG,55,9,869,102,271,.376,41,121,.339,61,150,.407,.452,28,34,.824,12,66,78,50,22,11,34,96,273
2014-15,33,ORL,NBA,SG,20,2,317,33,101,.327,7,32,.219,26,69,.377,.361,9,11,.818,6,18,24,17,4,1,6,27,82
Career,,,NBA,,699,297,14149,2332,5477,.426,482,1405,.343,1850,4072,.454,.470,689,902,.764,234,1014,1248,967,371,104,663,1205,5835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,PHI,NBA,,422,211,9179,1596,3785,.422,259,818,.317,1337,2967,.451,.456,503,669,.752,162,646,808,731,257,61,492,769,3954
2 seasons,,LAC,NBA,,127,69,2057,280,657,.426,112,287,.390,168,370,.454,.511,51,66,.773,29,146,175,105,51,23,65,192,723
1 season,,NOH,NBA,,77,13,1674,270,609,.443,54,155,.348,216,454,.476,.488,78,100,.780,22,139,161,74,36,13,67,143,672
1 season,,ATL,NBA,,53,2,922,153,325,.471,50,113,.442,103,212,.486,.548,48,56,.857,15,65,80,40,23,6,33,74,404
1 season,,ORL,NBA,,20,2,317,33,101,.327,7,32,.219,26,69,.377,.361,9,11,.818,6,18,24,17,4,1,6,27,82
