
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,LAC,NBA,SG,78,65,2677,411,901,.456,131,337,.389,280,564,.496,.529,299,350,.854,45,156,201,215,78,35,164,172,1252
2009-10,21,LAC,NBA,SG,62,60,2229,352,784,.449,119,321,.371,233,463,.503,.525,222,299,.742,25,135,160,186,69,14,144,96,1045
2010-11,22,LAC,NBA,SG,56,56,2112,427,949,.450,106,291,.364,321,658,.488,.506,287,348,.825,45,119,164,244,71,18,151,115,1247
2011-12,23,NOH,NBA,PG,9,9,310,63,140,.450,10,40,.250,53,100,.530,.486,49,65,.754,2,23,25,31,13,4,24,20,185
2012-13,24,NOH,NBA,SG,42,40,1264,235,584,.402,56,173,.324,179,411,.436,.450,187,222,.842,10,67,77,137,45,8,117,75,713
2013-14,25,NOP,NBA,SG,64,64,2057,356,817,.436,101,258,.391,255,559,.456,.498,175,223,.785,30,135,165,208,74,12,134,114,988
2014-15,26,NOP,NBA,SG,12,12,372,43,108,.398,14,41,.341,29,67,.433,.463,14,20,.700,5,23,28,24,14,3,17,31,114
Career,,,NBA,,323,306,11021,1887,4283,.441,537,1461,.368,1350,2822,.478,.503,1233,1527,.807,162,658,820,1045,364,94,751,623,5544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,196,181,7018,1190,2634,.452,356,949,.375,834,1685,.495,.519,808,997,.810,115,410,525,645,218,67,459,383,3544
4 seasons,,NOHNOP,NBA,,127,125,4003,697,1649,.423,181,512,.354,516,1137,.454,.478,425,530,.802,47,248,295,400,146,27,292,240,2000
